Batch > Batch > Log Viewer
Repository: DS_REPO_PROD
	Job Trace Log			Job Monitor Log			Job Error Log	
Page: 1 
Log: monitor_03_25_2025_00_26_02_490__dcaf4368_9d6f_4d45_a2f9_241189af4cea.txt Job Server: APSAPDSAPVP1:3505
Job name: JOB_R2_BGMA_BILLING_POSTING_MM
Path name	State	Row Count	Elapsed time (secs)	Absolute time (secs)
/DF_R2_BGMA_MM_BILLING_TAX_VALID/Query_6-Join12: 1	STOP	0	2.230	514.513
/DF_R2_BGMA_MM_BILLING_TAX_VALID/QR_SCS_FI_ID-Mapping14	STOP	321474	2.230	514.513
/DF_R2_BGMA_MM_BILLING_TAX_VALID/Query_8-Mapping15	STOP	321474	2.230	514.513
/DF_R2_BGMA_MM_BILLING_TAX_VALID/QR_DIFF_AMNT-Mapping16	STOP	321474	2.235	514.513
/DF_R2_BGMA_MM_BILLING_TAX_VALID/Hash_split[1]	STOP	321474	2.235	514.518
/DF_R2_BGMA_MM_BILLING_TAX_VALID/Merge[3]: 0	STOP	339064	2.250	514.518
/DF_R2_BGMA_MM_BILLING_TAX_VALID/QR_SUM	STOP	339064	2.255	514.518
/DF_R2_BGMA_MM_BILLING_TAX_VALID/Merge[4]: 0	STOP	303910	2.245	514.518
/DF_R2_BGMA_MM_BILLING_TAX_VALID/QR_SUM-GroupBy17	STOP	303910	2.245	514.518
/DF_R2_BGMA_MM_BILLING_TAX_VALID/Merge[5]: 0	STOP	165466	1.286	514.523
/DF_R2_BGMA_MM_BILLING_TAX_VALID/QR_LIMIT	STOP	165466	1.291	514.523
/DF_R2_BGMA_MM_BILLING_TAX_VALID/QR_ROUND	STOP	165435	1.291	514.523
/DF_R2_BGMA_MM_BILLING_TAX_VALID/QR_ERR_FLG	STOP	165435	1.291	514.523
/DF_R2_BGMA_MM_BILLING_TAX_VALID/QR_ERR_MSG	STOP	165435	1.291	514.523
/DF_R2_BGMA_MM_BILLING_TAX_VALID/QR_JOIN-JoinCache3	STOP	0	0.000	514.523
/DF_R2_BGMA_MM_BILLING_TAX_VALID/QR_ERR_MSG2	STOP	0	435.221	514.523
/DF_R2_BGMA_MM_BILLING_TAX_VALID/QR_JOIN: 0	STOP	262997100	442.642	514.528
/DF_R2_BGMA_MM_BILLING_TAX_VALID/QR_JOIN: 1	STOP	0	434.580	514.528
/DF_R2_BGMA_MM_BILLING_TAX_VALID/Query_13	STOP	0	0.000	514.528
/DF_R2_BGMA_MM_BILLING_TAX_VALID/Map_Operation	STOP	0	0.000	514.528
/DF_R2_BGMA_MM_BILLING_TAX_VALID/QR_JOIN19	STOP	0	435.226	514.528
/DF_R2_BGMA_MM_BILLING_TAX_VALID/QR_JOIN-Join18: 0	STOP	262997062	442.637	514.528
/DF_R2_BGMA_MM_BILLING_TAX_VALID/QR_JOIN-Join18: 1	STOP	0	434.580	514.528
/DF_R2_BGMA_MM_BILLING_TAX_VALID/Query_13-Mapping20	STOP	0	0.000	514.528
/DF_R2_BGMA_MM_BILLING_TAX_VALID/Map_Operation[1]	STOP	0	0.000	514.528
/DF_R2_BGMA_MM_BILLING_TAX_VALID/MergeRRS: 0	STOP	0	0.005	514.528
-DF_R2_BGMA_MM_BILLING_TAX_VALID/Loader3 for table 'Map_Operation_MM_BILLING'	STOP	0	0.000	514.533
-DF_R2_BGMA_MM_BILLING_TAX_VALID/Loader2 for table 'Map_Operation_MM_BILLING'	STOP	0	0.000	514.533
-DF_R2_BGMA_MM_BILLING_TAX_VALID/Loader1 for table 'Map_Operation_MM_BILLING'	STOP	0	0.000	514.533
-DF_R2_BGMA_MM_BILLING_TAX_VALID/Map_Operation_MM_BILLING	STOP	0	0.000	514.548
+DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/TBL01_001	STOP	642974	38.421	1016.487
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Split	STOP	642974	38.421	1016.487
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Round_Robin_Split	STOP	642974	38.421	1016.487
+DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_5	STOP	642960	3.298	1016.492
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/CacheSplit	STOP	642960	3.263	1016.492
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/CacheSplitMemoryReader	STOP	642960	13.569	1016.497
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Validation	STOP	642960	13.579	1016.517
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/CacheSplit[1]	STOP	642960	11.551	1016.517
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/CacheSplitMemoryReader[1]	STOP	642960	4.509	1016.522
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_6	STOP	642960	4.509	1016.522
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Round_Robin_Split[1]	STOP	642960	4.509	1016.522
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/CacheSplit[2]	STOP	0	0.000	1016.522
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/CacheSplitMemoryReader[2]	STOP	0	0.000	1016.522
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_11	STOP	0	0.000	1016.522
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/CacheSplit[3]	STOP	0	0.000	1016.522
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/CacheSplitMemoryReader[3]	STOP	0	0.005	1016.522
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_1111	STOP	0	0.000	1016.522
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_12-JoinCache13	STOP	0	0.000	1016.527
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_111112	STOP	0	477.175	1016.527
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_12: 0	STOP	321500	4.509	1016.527
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_12: 1	STOP	0	4.494	1016.527
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_13	STOP	321500	4.499	1016.527
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_1218	STOP	0	477.175	1016.527
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_12-Join17: 0	STOP	321460	4.509	1016.527
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_12-Join17: 1	STOP	0	4.504	1016.527
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_13-Mapping19	STOP	321460	4.499	1016.527
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Merge: 0	STOP	642960	4.499	1016.527
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/CacheSplitMemoryReader[4]	STOP	642960	14.344	1016.532
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Round_Robin_Split[2]	STOP	642960	14.349	1016.532
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/CacheSplitMemoryReader[5]	STOP	0	0.005	1016.532
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_14-Mapping15	STOP	0	0.000	1016.532
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_14-JoinCache16	STOP	0	0.000	1016.532
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_1114	STOP	0	477.180	1016.532
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_14: 0	STOP	321500	14.349	1016.532
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_14: 1	STOP	0	0.755	1016.532
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_7-Mapping1	STOP	0	0.000	1016.532
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_7-OrderBy2	STOP	0	0.005	1016.538
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_1421	STOP	0	477.186	1016.538
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_14-Join20: 0	STOP	321460	14.349	1016.538
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_14-Join20: 1	STOP	0	0.760	1016.538
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_7-Mapping22	STOP	0	0.000	1016.538
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_7-OrderBy23	STOP	0	0.000	1016.538
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/MergeSort: 0	STOP	0	0.000	1016.538
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/MergeSort: 1	STOP	0	0.000	1016.542
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_7	STOP	0	0.000	1016.542
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Merge[1]: 0	STOP	642960	4.499	1016.542
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Round_Robin_Split[3]	STOP	642960	4.499	1016.542
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_8-Mapping3	STOP	321500	4.499	1016.542
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_8	STOP	321500	9.769	1016.542
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_8-Mapping24	STOP	321460	4.499	1016.547
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_8-OrderBy25	STOP	321460	9.755	1016.547
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/MergeSort[1]: 0	STOP	321500	5.180	1016.547
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/MergeSort[1]: 1	STOP	321460	5.166	1016.547
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_9-Mapping4	STOP	642960	5.180	1016.547
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_9-Distinct5	STOP	642960	5.180	1016.552
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Round_Robin_Split[4]	STOP	165455	0.100	1016.552
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_9	STOP	82755	0.750	1016.557
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_9-OrderBy26	STOP	82700	0.750	1016.557
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/MergeSort[2]: 0	STOP	82755	0.165	1016.557
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/MergeSort[2]: 1	STOP	82700	0.165	1016.557
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_4-Mapping6	STOP	165455	0.165	1016.557
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Round_Robin_Split[5]	STOP	165455	0.165	1016.562
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_4	STOP	82755	1.426	1016.567
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_4-OrderBy27	STOP	82700	1.426	1016.567
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/MergeSort[3]: 0	STOP	82755	0.786	1016.567
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/MergeSort[3]: 1	STOP	82700	0.786	1016.567
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_48	STOP	165455	0.786	1016.567
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_1-JoinCache10	STOP	165455	0.786	1016.567
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_489	STOP	321490	463.935	1016.567
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_1-Join7: 0	STOP	321500	38.376	1016.567
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_1-Join7: 1	STOP	321490	8.209	1016.567
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_1	STOP	321490	461.805	1016.572
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_129	STOP	321470	463.940	1016.572
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_1-Join28: 0	STOP	321474	38.381	1016.572
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_1-Join28: 1	STOP	321470	8.259	1016.572
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_1-OrderBy31	STOP	321470	462.010	1016.572
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/MergeSort[4]: 0	STOP	321490	454.416	1016.572
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/MergeSort[4]: 1	STOP	321470	454.411	1016.572
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_1-OrderBy30	STOP	642960	454.831	1016.572
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_2	STOP	642960	455.281	1016.577
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Query_3	STOP	642960	455.201	1016.577
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Map_Operation	STOP	642960	455.201	1016.577
-DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_NIC/Map_Operation_MM_BILLING	STOP	642960	455.206	1016.592
+DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/TBL01_001	STOP	0	0.000	1021.344
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Split	STOP	0	0.000	1021.344
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Round_Robin_Split	STOP	0	0.000	1021.344
+DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_5	STOP	0	0.000	1021.354
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/CacheSplit	STOP	0	0.000	1021.354
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/CacheSplitMemoryReader	STOP	0	0.000	1021.354
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Validation	STOP	0	0.000	1021.369
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/CacheSplit[1]	STOP	0	0.000	1021.369
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/CacheSplitMemoryReader[1]	STOP	0	0.000	1021.369
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_6	STOP	0	0.000	1021.369
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Round_Robin_Split[1]	STOP	0	0.000	1021.369
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/CacheSplit[2]	STOP	0	0.000	1021.369
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/CacheSplitMemoryReader[2]	STOP	0	0.000	1021.369
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_11	STOP	0	0.000	1021.374
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/CacheSplit[3]	STOP	0	0.000	1021.374
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/CacheSplitMemoryReader[3]	STOP	0	0.000	1021.374
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_119	STOP	0	0.000	1021.374
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_12-JoinCache11	STOP	0	0.000	1021.374
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_11910	STOP	0	0.510	1021.374
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_12: 0	STOP	0	0.000	1021.374
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_12: 1	STOP	0	0.000	1021.379
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_13	STOP	0	0.000	1021.379
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_1216	STOP	0	0.515	1021.379
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_12-Join15: 0	STOP	0	0.000	1021.379
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_12-Join15: 1	STOP	0	0.000	1021.379
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_13-Mapping17	STOP	0	0.000	1021.379
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Merge: 0	STOP	0	0.000	1021.379
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/CacheSplitMemoryReader[4]	STOP	0	0.000	1021.379
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Round_Robin_Split[2]	STOP	0	0.000	1021.379
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/CacheSplitMemoryReader[5]	STOP	0	0.000	1021.379
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_14-Mapping13	STOP	0	0.000	1021.379
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_14-JoinCache14	STOP	0	0.000	1021.384
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_1112	STOP	0	0.515	1021.384
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_14: 0	STOP	0	0.000	1021.384
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_14: 1	STOP	0	0.000	1021.384
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_7-Mapping1	STOP	0	0.000	1021.384
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_7-OrderBy2	STOP	0	0.000	1021.384
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_1419	STOP	0	0.515	1021.384
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_14-Join18: 0	STOP	0	0.000	1021.384
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_14-Join18: 1	STOP	0	0.000	1021.384
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_7-Mapping20	STOP	0	0.000	1021.389
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_7-OrderBy21	STOP	0	0.000	1021.389
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/MergeSort: 0	STOP	0	0.000	1021.389
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/MergeSort: 1	STOP	0	0.000	1021.389
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_7	STOP	0	0.000	1021.389
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Merge[1]: 0	STOP	0	0.000	1021.389
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Round_Robin_Split[3]	STOP	0	0.000	1021.389
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_8-Mapping3	STOP	0	0.000	1021.389
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_8	STOP	0	0.000	1021.389
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_8-Mapping22	STOP	0	0.000	1021.394
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_8-OrderBy23	STOP	0	0.000	1021.394
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/MergeSort[1]: 0	STOP	0	0.000	1021.394
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/MergeSort[1]: 1	STOP	0	0.000	1021.394
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_4-Mapping4	STOP	0	0.000	1021.394
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Round_Robin_Split[4]	STOP	0	0.000	1021.394
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_4	STOP	0	0.000	1021.394
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_4-OrderBy24	STOP	0	0.000	1021.394
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/MergeSort[2]: 0	STOP	0	0.000	1021.399
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/MergeSort[2]: 1	STOP	0	0.000	1021.399
/DF_R2_BGMA_MM_BILLING_UPD_DOC_NO_IC/Query_46	STOP	0	0.000	1021.399
